Disk Folder Name,Disk Relative Path,Size (MB),Reconciliation Status,Match Tier,Canonical Title,Canonical Author,Canonical ASIN,Canonical Series
"The Grand Game, Book 1 - A Solo Adventure in a New World [B09D8K6HHB]","Tom Elliot\The Grand Game #1\The Grand Game, Book 1 - A Solo Adventure in a New World [B09D8K6HHB]",875.88,VERIFIED_CANONICAL,Tier 1: ASIN Match,"The Grand Game, Book 1",Tom Elliot,B09D8K6HHB,The Grand Game #1
Neil Degrasse Tyson_dup_399,To_Sort\From_Archive\Non Fiction\Neil Degrasse Tyson_dup_399,422.54,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,Letters from an Astrophysicist,Neil deGrasse Tyson,B07VQJB4NF,
Audible,To_Sort\From_Drive_G\Audible,286.98,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,"Heretical Fishing: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",Haylock Jobson,B0CVCYB19Y,Heretical Fishing #1
Audible,To_Sort\From_Root\Audible,21802.4,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,"Heretical Fishing: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",Haylock Jobson,B0CVCYB19Y,Heretical Fishing #1
Impact Winter Season 2 [B0C66LN3JW],Travis Beacham\Impact Winter #2\Impact Winter Season 2 [B0C66LN3JW],311.48,VERIFIED_CANONICAL,Tier 1: ASIN Match,Impact Winter Season 2,Travis Beacham,B0C66LN3JW,Impact Winter #2
Impact Winter Season 3 [B0D6GQWSBK],Travis Beacham\Impact Winter #3\Impact Winter Season 3 [B0D6GQWSBK],417.41,VERIFIED_CANONICAL,Tier 1: ASIN Match,Impact Winter Season 3,Travis Beacham,B0D6GQWSBK,Impact Winter #3
CONAF-333-20250122-Burr-MGv01 [B08JJPCTKT],Various Authors\Conan Oâ€™Brien Needs A Friend\CONAF-333-20250122-Burr-MGv01 [B08JJPCTKT],66.3,VERIFIED_CANONICAL,Tier 1: ASIN Match,CONAF-333-20250122-Burr-MGv01,Various Authors,B08JJPCTKT,Conan O’Brien Needs A Friend
"The Kartoss Gambit - Way of the Shaman, Book 2 [B01DPZLX4I]","Vasily Mahanenko\The Way of the Shaman #2\The Kartoss Gambit - Way of the Shaman, Book 2 [B01DPZLX4I]",441.33,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Kartoss Gambit,Vasily Mahanenko,B01DPZLX4I,The Way of the Shaman #2
Survival Quest - Way of the Shaman Series # 1 [B01CRDD6ZS],Vasily Mahanenko\The Way of the Shaman #1\Survival Quest - Way of the Shaman Series # 1 [B01CRDD6ZS],315.53,VERIFIED_CANONICAL,Tier 1: ASIN Match,Survival Quest,Vasily Mahanenko,B01CRDD6ZS,The Way of the Shaman #1
"Shaman's Revenge - Way of the Shaman, Book 6 [B07773KCY7]","Vasily Mahanenko\The Way of the Shaman #6\Shaman's Revenge - Way of the Shaman, Book 6 [B07773KCY7]",932.4,VERIFIED_CANONICAL,Tier 1: ASIN Match,Shaman's Revenge,Vasily Mahanenko,B07773KCY7,The Way of the Shaman #6
"The Phantom Castle - Way of the Shaman Series, Book 4 [B06WVJ5NTG]","Vasily Mahanenko\The Way of the Shaman #4\The Phantom Castle - Way of the Shaman Series, Book 4 [B06WVJ5NTG]",526.19,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Phantom Castle,Vasily Mahanenko,B06WVJ5NTG,The Way of the Shaman #4
"Clans War - Way of the Shaman Series, Book 7 [B07CWWTJJ1]","Vasily Mahanenko\The Way of the Shaman #7\Clans War - Way of the Shaman Series, Book 7 [B07CWWTJJ1]",465.23,VERIFIED_CANONICAL,Tier 1: ASIN Match,Clans War,Vasily Mahanenko,B07CWWTJJ1,The Way of the Shaman #7
"The Karmadont Chess Set - Way of the Shaman, Book 5 [B071DSVT79]","Vasily Mahanenko\The Way of the Shaman #5\The Karmadont Chess Set - Way of the Shaman, Book 5 [B071DSVT79]",439.04,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Karmadont Chess Set,Vasily Mahanenko,B071DSVT79,The Way of the Shaman #5
Einstein - His Life and Universe [B002V1A1YQ],Walter Isaacson\Einstein LifeUniverse\Einstein - His Life and Universe [B002V1A1YQ],565.71,VERIFIED_CANONICAL,Tier 1: ASIN Match,Einstein,Walter Isaacson,B002V1A1YQ,Einstein LifeUniverse
Reborn as a Demonic Tree 2 [B0CQPVXD1X],XKarnation\Reborn as a Demonic Tree #2\Reborn as a Demonic Tree 2 [B0CQPVXD1X],1370.27,VERIFIED_CANONICAL,Tier 1: ASIN Match,Reborn as a Demonic Tree 2,XKarnation,B0CQPVXD1X,Reborn as a Demonic Tree #2
Reborn as a Demonic Tree - An Isekai LitRPG Adventure [B0CJKXYH8Y],XKarnation\Reborn as a Demonic Tree #1\Reborn as a Demonic Tree - An Isekai LitRPG Adventure [B0CJKXYH8Y],1030.26,VERIFIED_CANONICAL,Tier 1: ASIN Match,Reborn as a Demonic Tree,Xkarnation,B0CJKXYH8Y,Reborn as a Demonic Tree #1
The Primal Hunter - A LitRPG Adventure [B09MWP4277],Zogarth\The Primal Hunter #1\The Primal Hunter - A LitRPG Adventure [B09MWP4277],1112.3,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Primal Hunter,Zogarth,B09MWP4277,The Primal Hunter #1
Your First Listen [B002V8N37Q],Books\Books\Your First Listen [B002V8N37Q],5.0,VERIFIED_CANONICAL,Tier 1: ASIN Match,Your First Listen,test,B002V8N37Q,Books
Star Wars Darth Bane Audiobook Trilogy [Unabridged] [Unabridged],Sci-FI\Star Wars\Star Wars Darth Bane Audiobook Trilogy [Unabridged] [Unabridged],4357.4,VERIFIED_CANONICAL,Tier 4: Prefix Match,Star Wars Darth Bane Audiobook Trilogy [Unabridged],Sci-FI,,star warz bukz
Audible,Audible,21801.61,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,"Heretical Fishing: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",Haylock Jobson,B0CVCYB19Y,Heretical Fishing #1
Percy Jackson And The Olympians 05 - The Last Olympians,Fantasy\Rick Riordan-Percy Jackson and the Olympians Series Book 1-5 (2)\Percy Jackson And The Olympians 05 - The Last Olympians,601.0,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,Percy Jackson And The Olympians 05 - The Last Olympians,Fantasy,,Rick Riordan-Percy Jackson and the Olympians Series Book 1-5 (2)
Daredevil Guardian Devil [1974977722],"Kevin Smith, Marvel\Marvel audio books\Daredevil Guardian Devil [1974977722]",292.02,VERIFIED_CANONICAL,Tier 1: ASIN Match,Daredevil: Guardian Devil,"Kevin Smith, Marvel",1974977722,Marvel audio books
"Vengeance of the Iron Dwarf - Legend of Drizzt Companions Codex, Book 3 [B00RNGB73S]","R. A. Salvatore\Legend of Drizzt #30\Vengeance of the Iron Dwarf - Legend of Drizzt Companions Codex, Book 3 [B00RNGB73S]",277.21,VERIFIED_CANONICAL,Tier 1: ASIN Match,Vengeance of the Iron Dwarf,R. A. Salvatore,B00RNGB73S,Legend of Drizzt #30
"Streams of Silver - Legend of Drizzt Icewind Dale Trilogy, Book 2 [B00BWRTI4E]","R. A. Salvatore\Legend of Drizzt #5\Streams of Silver - Legend of Drizzt Icewind Dale Trilogy, Book 2 [B00BWRTI4E]",235.66,VERIFIED_CANONICAL,Tier 1: ASIN Match,Streams of Silver,R. A. Salvatore,B00BWRTI4E,Legend of Drizzt #5
"The Last Threshold - Legend of Drizzt Neverwinter Saga, Book 4 [B00AXZZI7W]","R. A. Salvatore\Legend of Drizzt #26\The Last Threshold - Legend of Drizzt Neverwinter Saga, Book 4 [B00AXZZI7W]",300.47,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Last Threshold,R. A. Salvatore,B00AXZZI7W,Legend of Drizzt #26
"Night Masks - Forgotten Realms The Cleric Quintet, Book 3 [B00E0L64CI]","R. A. Salvatore\Forgotten Realms The Cleric Quintet #3\Night Masks - Forgotten Realms The Cleric Quintet, Book 3 [B00E0L64CI]",219.03,VERIFIED_CANONICAL,Tier 1: ASIN Match,Night Masks,R. A. Salvatore,B00E0L64CI,Forgotten Realms: The Cleric Quintet #3
"Servant of the Shard - Forgotten Realms The Sellswords, Book 1 [B00II84AA2]","R. A. Salvatore\Forgotten Realms - Sellswords #1, Legend of Drizzt #14\Servant of the Shard - Forgotten Realms The Sellswords, Book 1 [B00II84AA2]",575.13,VERIFIED_CANONICAL,Tier 1: ASIN Match,Servant of the Shard,R. A. Salvatore,B00II84AA2,"Forgotten Realms - Sellswords #1, Legend of Drizzt #14"
"The Lone Drow - Legend of Drizzt Hunter's Blade Trilogy, Book 2 [B00JJZNRJI]","R. A. Salvatore\Legend of Drizzt #18\The Lone Drow - Legend of Drizzt Hunter's Blade Trilogy, Book 2 [B00JJZNRJI]",294.32,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Lone Drow,R. A. Salvatore,B00JJZNRJI,Legend of Drizzt #18
The Dao of Drizzt [B09SGN4M9L],"R. A. Salvatore\Legend of Drizzt, Legend of Drizzt Homecoming\The Dao of Drizzt [B09SGN4M9L]",761.04,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Dao of Drizzt,R. A. Salvatore,B09SGN4M9L,"Legend of Drizzt, Legend of Drizzt: Homecoming"
The Witch's Daughter [B003JTZFHM],R. A. Salvatore\Chronicles of Ynis Aielle #2\The Witch's Daughter [B003JTZFHM],278.24,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Witch's Daughter,R. A. Salvatore,B003JTZFHM,Chronicles of Ynis Aielle #2
Dragonslayer's Return [B003TU3Q9A],R. A. Salvatore\Spearwielder's Tales #3\Dragonslayer's Return [B003TU3Q9A],303.04,VERIFIED_CANONICAL,Tier 1: ASIN Match,Dragonslayer's Return,R. A. Salvatore,B003TU3Q9A,Spearwielder's Tales #3
"Maestro - Legend of Drizzt Homecoming, Book II [B01C4Q0886]","R. A. Salvatore\Legend of Drizzt #32, Legend of Drizzt Homecoming #2\Maestro - Legend of Drizzt Homecoming, Book II [B01C4Q0886]",270.53,VERIFIED_CANONICAL,Tier 1: ASIN Match,Maestro,R. A. Salvatore,B01C4Q0886,"Legend of Drizzt #32, Legend of Drizzt: Homecoming #2"
Relentless - A Drizzt Novel [0062688693],"R. A. Salvatore\Legend of Drizzt #36, Generations #3\Relentless - A Drizzt Novel [0062688693]",768.57,VERIFIED_CANONICAL,Tier 1: ASIN Match,Relentless,R. A. Salvatore,0062688693,"Legend of Drizzt #36, Generations #3"
"The Halfling's Gem - Legend of Drizzt Icewind Dale Trilogy, Book 3 [B00BWA4GXE]","R. A. Salvatore\Legend of Drizzt #6\The Halfling's Gem - Legend of Drizzt Icewind Dale Trilogy, Book 3 [B00BWA4GXE]",224.62,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Halfling's Gem,R. A. Salvatore,B00BWA4GXE,Legend of Drizzt #6
Timeless - A Drizzt Novel [B079Y9D7SK],"R. A. Salvatore\Legend of Drizzt #34, Generations #1\Timeless - A Drizzt Novel [B079Y9D7SK]",232.32,VERIFIED_CANONICAL,Tier 1: ASIN Match,Timeless,R. A. Salvatore,B079Y9D7SK,"Legend of Drizzt #34, Generations #1"
"The Two Swords - Legend of Drizzt Hunter's Blade Trilogy, Book 3 [B00JK0T2GE]","R. A. Salvatore\Legend of Drizzt #19\The Two Swords - Legend of Drizzt Hunter's Blade Trilogy, Book 3 [B00JK0T2GE]",269.49,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Two Swords,R. A. Salvatore,B00JK0T2GE,Legend of Drizzt #19
"The Thousand Orcs - Legend of Drizzt Hunter's Blade Trilogy, Book 1 [B00JANBXLS]","R. A. Salvatore\Legend of Drizzt #17\The Thousand Orcs - Legend of Drizzt Hunter's Blade Trilogy, Book 1 [B00JANBXLS]",268.52,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Thousand Orcs,R. A. Salvatore,B00JANBXLS,Legend of Drizzt #17
"The Crystal Shard - Legend of Drizzt Icewind Dale Trilogy, Book 1 [B00BWA4ULM]","R. A. Salvatore\Legend of Drizzt #4\The Crystal Shard - Legend of Drizzt Icewind Dale Trilogy, Book 1 [B00BWA4ULM]",238.3,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Crystal Shard,R. A. Salvatore,B00BWA4ULM,Legend of Drizzt #4
"Siege of Darkness - Legend of Drizzt Legacy of the Drow, Book 3 [B00FVZKNHE]","R. A. Salvatore\Legend of Drizzt #9\Siege of Darkness - Legend of Drizzt Legacy of the Drow, Book 3 [B00FVZKNHE]",239.23,VERIFIED_CANONICAL,Tier 1: ASIN Match,Siege of Darkness,R. A. Salvatore,B00FVZKNHE,Legend of Drizzt #9
The Sword of Bedwyr - The Crimson Shadow [B0036I52BU],R. A. Salvatore\Crimson Shadow #1\The Sword of Bedwyr - The Crimson Shadow [B0036I52BU],261.93,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Sword of Bedwyr,R. A. Salvatore,B0036I52BU,Crimson Shadow #1
The Sword of Bedwyr [B0036I52BU],R. A. Salvatore\Crimson Shadow #1\The Sword of Bedwyr [B0036I52BU],257.09,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Sword of Bedwyr,R. A. Salvatore,B0036I52BU,Crimson Shadow #1
"Hero - Legend of Drizzt Homecoming, Book III [B01KIQRTKO]","R. A. Salvatore\Legend of Drizzt #33, Legend of Drizzt Homecoming #3\Hero - Legend of Drizzt Homecoming, Book III [B01KIQRTKO]",1210.55,VERIFIED_CANONICAL,Tier 1: ASIN Match,Hero,R. A. Salvatore,B01KIQRTKO,"Legend of Drizzt #33, Legend of Drizzt: Homecoming #3"
"Charon's Claw - Legend of Drizzt Neverwinter Saga, Book 3 [B00AWVC230]","R. A. Salvatore\Legend of Drizzt #25\Charon's Claw - Legend of Drizzt Neverwinter Saga, Book 3 [B00AWVC230]",302.59,VERIFIED_CANONICAL,Tier 1: ASIN Match,Charon's Claw,R. A. Salvatore,B00AWVC230,Legend of Drizzt #25
"Neverwinter - Legend of Drizzt Neverwinter Saga, Book 2 [B00AWVC0PK]","R. A. Salvatore\Legend of Drizzt #24\Neverwinter - Legend of Drizzt Neverwinter Saga, Book 2 [B00AWVC0PK]",242.83,VERIFIED_CANONICAL,Tier 1: ASIN Match,Neverwinter,R. A. Salvatore,B00AWVC0PK,Legend of Drizzt #24
Lolth's Warrior - A Novel [B0BR8N8JK2],"R. A. Salvatore\Legend of Drizzt #39, The Way of the Drow #3\Lolth's Warrior - A Novel [B0BR8N8JK2]",734.73,VERIFIED_CANONICAL,Tier 1: ASIN Match,Lolth's Warrior,R. A. Salvatore,B0BR8N8JK2,"Legend of Drizzt #39, The Way of the Drow #3"
A Song for Sadye - A Tale of DemonWars [B00S1LX7R8],R. A. Salvatore\The DemonWars Saga #10\A Song for Sadye - A Tale of DemonWars [B00S1LX7R8],17.57,VERIFIED_CANONICAL,Tier 1: ASIN Match,A Song for Sadye,R. A. Salvatore,B00S1LX7R8,The DemonWars Saga #10
A Song for Sadye A Tale of DemonWars (Unabridged) [B00S1LX7R8],R. A. Salvatore\The DemonWars Saga #10\A Song for Sadye A Tale of DemonWars (Unabridged) [B00S1LX7R8],16.98,VERIFIED_CANONICAL,Tier 1: ASIN Match,A Song for Sadye,R. A. Salvatore,B00S1LX7R8,The DemonWars Saga #10
Glacier's Edge - A Novel [B09M9BXZ5S],"R. A. Salvatore\Legend of Drizzt #38, The Way of the Drow #2\Glacier's Edge - A Novel [B09M9BXZ5S]",757.11,VERIFIED_CANONICAL,Tier 1: ASIN Match,Glacier's Edge,R. A. Salvatore,B09M9BXZ5S,"Legend of Drizzt #38, The Way of the Drow #2"
Bastion of Darkness [B003TIWRY2],R. A. Salvatore\Chronicles of Ynis Aielle #3\Bastion of Darkness [B003TIWRY2],138.05,VERIFIED_CANONICAL,Tier 1: ASIN Match,Bastion of Darkness,R. A. Salvatore,B003TIWRY2,Chronicles of Ynis Aielle #3
"Archmage - Legend of Drizzt Homecoming, Book 1 [B0118JEFUW]","R. A. Salvatore\Legend of Drizzt #31, Legend of Drizzt Homecoming #1\Archmage - Legend of Drizzt Homecoming, Book 1 [B0118JEFUW]",286.98,VERIFIED_CANONICAL,Tier 1: ASIN Match,Archmage,R. A. Salvatore,B0118JEFUW,"Legend of Drizzt #31, Legend of Drizzt: Homecoming #1"
The Woods Out Back [B003CM64AI],R. A. Salvatore\Spearwielder's Tales #1\The Woods Out Back [B003CM64AI],657.21,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Woods Out Back,R. A. Salvatore,B003CM64AI,Spearwielder's Tales #1
"The Silent Blade - Legend of Drizzt Paths of Darkness, Book 1 [B00HDQ7WIM]","R. A. Salvatore\Legend of Drizzt #11\The Silent Blade - Legend of Drizzt Paths of Darkness, Book 1 [B00HDQ7WIM]",517.92,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Silent Blade,R. A. Salvatore,B00HDQ7WIM,Legend of Drizzt #11
"The Legacy - Legend of Drizzt Legacy of the Drow, Book 1 [B00ELLREQC]","R. A. Salvatore\Legend of Drizzt #7\The Legacy - Legend of Drizzt Legacy of the Drow, Book 1 [B00ELLREQC]",213.73,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Legacy,R. A. Salvatore,B00ELLREQC,Legend of Drizzt #7
"Passage to Dawn - Legend of Drizzt Legacy of the Drow, Book 4 [B00FVZLGLQ]","R. A. Salvatore\Legend of Drizzt #10\Passage to Dawn - Legend of Drizzt Legacy of the Drow, Book 4 [B00FVZLGLQ]",236.48,VERIFIED_CANONICAL,Tier 1: ASIN Match,Passage to Dawn,R. A. Salvatore,B00FVZLGLQ,Legend of Drizzt #10
"Gauntlgrym - Legend of Drizzt Neverwinter Saga, Book 1 [B00AWVBWKE]","R. A. Salvatore\Legend of Drizzt #23\Gauntlgrym - Legend of Drizzt Neverwinter Saga, Book 1 [B00AWVBWKE]",271.76,VERIFIED_CANONICAL,Tier 1: ASIN Match,Gauntlgrym,R. A. Salvatore,B00AWVBWKE,Legend of Drizzt #23
Canticle - Forgotten Realms The Cleric Quintet Book 1 [B00CX72QZK],R. A. Salvatore\Forgotten Realms The Cleric Quintet #1\Canticle - Forgotten Realms The Cleric Quintet Book 1 [B00CX72QZK],240.14,VERIFIED_CANONICAL,Tier 1: ASIN Match,Canticle,R. A. Salvatore,B00CX72QZK,Forgotten Realms: The Cleric Quintet #1
"Rise of the King - Legend of Drizzt Companions Codex, Book 2 [B00NFO4TH8]","R. A. Salvatore\Legend of Drizzt #29\Rise of the King - Legend of Drizzt Companions Codex, Book 2 [B00NFO4TH8]",292.21,VERIFIED_CANONICAL,Tier 1: ASIN Match,Rise of the King,R. A. Salvatore,B00NFO4TH8,Legend of Drizzt #29
"Road of the Patriarch - Forgotten Realms The Sellswords, Book 3 [B002V0JZEY]","R. A. Salvatore\Forgotten Realms - Sellswords #3, Legend of Drizzt #16\Road of the Patriarch - Forgotten Realms The Sellswords, Book 3 [B002V0JZEY]",367.09,VERIFIED_CANONICAL,Tier 1: ASIN Match,Road of the Patriarch,R. A. Salvatore,B002V0JZEY,"Forgotten Realms - Sellswords #3, Legend of Drizzt #16"
Starlight Enclave - A Novel [0063029804],"R. A. Salvatore\Legend of Drizzt #37, The Way of the Drow #1\Starlight Enclave - A Novel [0063029804]",787.36,VERIFIED_CANONICAL,Tier 1: ASIN Match,Starlight Enclave,R. A. Salvatore,0063029804,"Legend of Drizzt #37, The Way of the Drow #1"
"The Chaos Curse - Forgotten Realms The Cleric Quintet, Book 5 [B00EAH29D0]","R. A. Salvatore\Forgotten Realms The Cleric Quintet #5\The Chaos Curse - Forgotten Realms The Cleric Quintet, Book 5 [B00EAH29D0]",199.58,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Chaos Curse,R. A. Salvatore,B00EAH29D0,Forgotten Realms: The Cleric Quintet #5
The Ancient [Dramatized Adaptation] [1648809936],R. A. Salvatore\Saga of the First King #2\The Ancient [Dramatized Adaptation] [1648809936],440.75,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Ancient [Dramatized Adaptation],R. A. Salvatore,1648809936,Saga of the First King #2
"Starless Night - Legend of Drizzt Legacy of the Drow, Book 2 [B00FRILVJO]","R. A. Salvatore\Legend of Drizzt #8\Starless Night - Legend of Drizzt Legacy of the Drow, Book 2 [B00FRILVJO]",223.33,VERIFIED_CANONICAL,Tier 1: ASIN Match,Starless Night,R. A. Salvatore,B00FRILVJO,Legend of Drizzt #8
"The Fallen Fortress - Forgotten Realms - The Cleric Quintet, Book 4 [B00EAH2DS6]","R. A. Salvatore\Forgotten Realms The Cleric Quintet #4\The Fallen Fortress - Forgotten Realms - The Cleric Quintet, Book 4 [B00EAH2DS6]",222.55,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Fallen Fortress,R. A. Salvatore,B00EAH2DS6,Forgotten Realms: The Cleric Quintet #4
Mather's Blood [B00S1LWP0S],R. A. Salvatore\The DemonWars Saga #9\Mather's Blood [B00S1LWP0S],20.55,VERIFIED_CANONICAL,Tier 1: ASIN Match,Mather's Blood,R. A. Salvatore,B00S1LWP0S,The DemonWars Saga #9
"Homeland - Legend of Drizzt Dark Elf Trilogy, Book 1 [B00BW5V1FU]","R. A. Salvatore\Legend of Drizzt #1\Homeland - Legend of Drizzt Dark Elf Trilogy, Book 1 [B00BW5V1FU]",212.92,VERIFIED_CANONICAL,Tier 1: ASIN Match,Homeland,R. A. Salvatore,B00BW5V1FU,Legend of Drizzt #1
Echoes of the Fourth Magic [B003BKQZ28],R. A. Salvatore\Chronicles of Ynis Aielle #1\Echoes of the Fourth Magic [B003BKQZ28],310.19,VERIFIED_CANONICAL,Tier 1: ASIN Match,Echoes of the Fourth Magic,R. A. Salvatore,B003BKQZ28,Chronicles of Ynis Aielle #1
"Sojourn - Legend of Drizzt Dark Elf Trilogy, Book 3 [B00BWQUFRE]","R. A. Salvatore\Legend of Drizzt #3\Sojourn - Legend of Drizzt Dark Elf Trilogy, Book 3 [B00BWQUFRE]",211.36,VERIFIED_CANONICAL,Tier 1: ASIN Match,Sojourn,R. A. Salvatore,B00BWQUFRE,Legend of Drizzt #3
Boundless - A Drizzt Novel [0062688650],"R. A. Salvatore\Legend of Drizzt #35, Generations #2\Boundless - A Drizzt Novel [0062688650]",720.74,VERIFIED_CANONICAL,Tier 1: ASIN Match,Boundless,R. A. Salvatore,0062688650,"Legend of Drizzt #35, Generations #2"
"Exile - Legend of Drizzt Dark Elf Trilogy, Book 2 [B00BWSI8A8]","R. A. Salvatore\Legend of Drizzt #2\Exile - Legend of Drizzt Dark Elf Trilogy, Book 2 [B00BWSI8A8]",401.57,VERIFIED_CANONICAL,Tier 1: ASIN Match,Exile,R. A. Salvatore,B00BWSI8A8,Legend of Drizzt #2
"Promise of the Witch-King - Forgotten Realms The Sellswords, Book 2 [B00IIW28OI]","R. A. Salvatore\Forgotten Realms - Sellswords #2, Legend of Drizzt #15\Promise of the Witch-King - Forgotten Realms The Sellswords, Book 2 [B00IIW28OI]",358.0,VERIFIED_CANONICAL,Tier 1: ASIN Match,Promise of the Witch-King,R. A. Salvatore,B00IIW28OI,"Forgotten Realms - Sellswords #2, Legend of Drizzt #15"
The Highwayman [Dramatized Adaptation] [1648802362],R. A. Salvatore\Saga of the First King #1\The Highwayman [Dramatized Adaptation] [1648802362],442.63,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Highwayman [Dramatized Adaptation],R. A. Salvatore,1648802362,Saga of the First King #1
In Sylvan Shadows [B00EO4PDQY],R. A. Salvatore\Forgotten Realms The Cleric Quintet #2\In Sylvan Shadows [B00EO4PDQY],221.08,VERIFIED_CANONICAL,Tier 1: ASIN Match,In Sylvan Shadows,R. A. Salvatore,B00EO4PDQY,Forgotten Realms: The Cleric Quintet #2
Polgara the Sorceress [B003DRKISG],"David Eddings, Leigh Eddings\Belgariad Prequels #2\Polgara the Sorceress [B003DRKISG]",588.4,VERIFIED_CANONICAL,Tier 1: ASIN Match,Polgara the Sorceress,"David Eddings, Leigh Eddings",B003DRKISG,Belgariad Prequels #2
Belgarath the Sorcerer [B01N39DESN],"David Eddings, Leigh Eddings\Belgariad Prequels #1\Belgarath the Sorcerer [B01N39DESN]",564.72,VERIFIED_CANONICAL,Tier 1: ASIN Match,Belgarath the Sorcerer,"David Eddings, Leigh Eddings",B01N39DESN,Belgariad Prequels #1
Wasteland Warlords 1 [B0CKLRSQVZ],"James Hunter, Eden Hudson\Wasteland Warlords #1\Wasteland Warlords 1 [B0CKLRSQVZ]",193.37,VERIFIED_CANONICAL,Tier 1: ASIN Match,Wasteland Warlords 1,"James Hunter, Eden Hudson",B0CKLRSQVZ,Wasteland Warlords #1
Wasteland Warlords 2 [B0CKLS8RV3],"James Hunter, Eden Hudson\Wasteland Warlords #2\Wasteland Warlords 2 [B0CKLS8RV3]",206.3,VERIFIED_CANONICAL,Tier 1: ASIN Match,Wasteland Warlords 2,"James Hunter, Eden Hudson",B0CKLS8RV3,Wasteland Warlords #2
Wasteland Warlords 6 [B0CQDNJ6Q3],"James Hunter, Eden Hudson\Wasteland Warlords #6\Wasteland Warlords 6 [B0CQDNJ6Q3]",200.08,VERIFIED_CANONICAL,Tier 1: ASIN Match,Wasteland Warlords 6,"James Hunter, Eden Hudson",B0CQDNJ6Q3,Wasteland Warlords #6
"Wasteland Warlords 5 - Wasteland Warlords, Book 5 [B0CQM8NJY2]","James Hunter, Eden Hudson\Wasteland Warlords #5\Wasteland Warlords 5 - Wasteland Warlords, Book 5 [B0CQM8NJY2]",164.96,VERIFIED_CANONICAL,Tier 1: ASIN Match,Wasteland Warlords 5,"James Hunter, Eden Hudson",B0CQM8NJY2,Wasteland Warlords #5
Wasteland Warlords 3 [B0CKLRGXCV],"James Hunter, Eden Hudson\Wasteland Warlords #3\Wasteland Warlords 3 [B0CKLRGXCV]",182.76,VERIFIED_CANONICAL,Tier 1: ASIN Match,Wasteland Warlords 3,"James Hunter, Eden Hudson",B0CKLRGXCV,Wasteland Warlords #3
"Wasteland Warlords 4 - Wasteland Warlords, Book 4 [B0CQM9DV55]","James Hunter, Eden Hudson\Wasteland Warlords #4\Wasteland Warlords 4 - Wasteland Warlords, Book 4 [B0CQM9DV55]",176.2,VERIFIED_CANONICAL,Tier 1: ASIN Match,Wasteland Warlords 4,"James Hunter, Eden Hudson",B0CQM9DV55,Wasteland Warlords #4
The Great Hunt - Book Two of The Wheel Of Time [B002UP1LXS],Robert Jordan\The Wheel of Time #2\The Great Hunt - Book Two of The Wheel Of Time [B002UP1LXS],578.07,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Great Hunt,Robert Jordan,B002UP1LXS,The Wheel of Time #2
Lord of Chaos - Book Six of The Wheel of Time [B002V5BDOE],Robert Jordan\The Wheel of Time #6\Lord of Chaos - Book Six of The Wheel of Time [B002V5BDOE],1110.82,VERIFIED_CANONICAL,Tier 1: ASIN Match,Lord of Chaos,Robert Jordan,B002V5BDOE,The Wheel of Time #6
Conan the Invincible,Robert Jordan\Robert Jordan - Wheel of Time 1 - 11 + prequal new spring + The Conan Chronicles [2 Complete Collections] (2)\Conan the Invincible,157.31,VERIFIED_CANONICAL,Tier 3: Title Match,Conan the Invincible,Robert Jordan,,Robert Jordan - Wheel of Time 1 - 11 + prequal new spring + The Conan Chronicles [2 Complete Collections] (2)
Conan the Unconquered,Robert Jordan\Robert Jordan - Wheel of Time 1 - 11 + prequal new spring + The Conan Chronicles [2 Complete Collections] (2)\Conan the Unconquered,161.36,VERIFIED_CANONICAL,Tier 3: Title Match,Conan the Unconquered,Robert Jordan,,Robert Jordan - Wheel of Time 1 - 11 + prequal new spring + The Conan Chronicles [2 Complete Collections] (2)
