Disk Folder Name,Disk Relative Path,Size (MB),Reconciliation Status,Match Tier,Canonical Title,Canonical Author,Canonical ASIN,Canonical Series
[01] The Demon Awakens,_Uncataloged\[01] The Demon Awakens,1050.56,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,The Demon Awakens (Dramatized Adaptation),R.A. Salvatore,B0B7XNY87P,The DemonWars Saga #1
Roald Dahl - Wonderful Story Of Henry Sugar Audiobook In Proper Order [JabbaJr],_Uncataloged\Roald Dahl - Wonderful Story Of Henry Sugar Audiobook In Proper Order [JabbaJr],31.94,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,The Wonderful Story of Henry Sugar,Roald Dahl,B00DZPOYTA,Roald Dahl - Wonderful Story Of Henry Sugar Audiobook In Proper Order [JabbaJr]
Fantastic Mr. Fox,_Uncataloged\Fantastic Mr. Fox,55.03,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,El Superzorro [Fantastic Mr. Fox],"Roald Dahl, Ramón Buckley Planas",8420458651,Roald Dahl - Daily Telegraph Audio Books
Asimov - R. Daneel Olivaw - Book 01 - Caves Of Steel,_Uncataloged\Asimov - R. Daneel Olivaw - Book 01 - Caves Of Steel,213.25,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,The Caves of Steel Disc 1,Isaac Asimov,,Isaac Asimov_dup_4263 #1
Azazel,_Uncataloged\Azazel,164.86,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,The Book of Azazel,E.A. Koetting,B0F5KR326Y,Isaac Asimov_dup_4263
Book 3 - Second Foundation,_Uncataloged\Book 3 - Second Foundation,205.1,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Fundación [Foundation],"Isaac Asimov, Pilar Giralt Gorina - translator",B0BTV3BQDY,Foundation [Spanish Edition] #3
F01 - Foundation,_Uncataloged\F01 - Foundation,169.31,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Segunda Fundación [Second Foundation],"Isaac Asimov, Pilar Giralt Gorina - translator",B0BV7MGYFH,Foundation [Spanish Edition] #5
Fantastic Voyage,_Uncataloged\Fantastic Voyage,180.07,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,This Is Your Captain Speaking,"Gavin MacLeod, Mark Dagostino",B00G044FC4,Isaac Asimov_dup_4263
Robots & Empire,_Uncataloged\Robots & Empire,396.79,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Robots e Imperio [Robots and Empire],"Isaac Asimov, Rosa Sánchez de Naveira - translator",B0BXFNTYWZ,Serie de los robots [Robot Series] #5
The Greeks,_Uncataloged\The Greeks,285.18,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Odyssey,Stephen Fry,B0F38S8J8S,Mythos #4
