TargetFolder,Reason
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\James Hunter; eden Hudson,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel -spider-Man - Drowned In Thunder,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\The Amazing Spider-Man (BBC Radio Play),Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Eric Ugland\Bad Guys Series,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Warren Murphy; Richard Sapir,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Black Panther [Who Is The Black Panther],Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\GA - Doctor Strange - The Fate of Dreams,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel - Ms. Marvel Volume 1 - No Normal,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Jason Reynolds - Miles Morales Spider-Man,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel - Daredevil - The Man Without Fear,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Christopher Golden; Dirk Maggs,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\Dennis E. Taylor\A Change of Plans,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\A.A. Livingston; Dan Livingston,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Charlaine Harris\Sookie Stackhouse\After Dead,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Drew Hayes\Spells, Swords, & Stealth\[01] NPCs,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel 2015 10-13 - Black Widow - Forever Red,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel - Deadpool 01 - Paws [GraphicAudio-256],Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Eoin Colfer - Iron Man The Gauntlet (Unabridged),Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel - Iron Man - Extremis [Graphic Audio 256],Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel 2016 05-30 - Captain America - Dark Designs,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel - Guardians of the Galaxy - Collect Them All,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\David Farland\Runelords\[02] Brotherhood of the Wolf,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Drew Hayes\Spells, Swords, & Stealth\[05] Noble Roots,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Drew Hayes\Spells, Swords, & Stealth\[04] Siege Tactics,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Eric Ugland\The Good Guys Series\[04] Four,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Casualfarmer\Beware of Chicken\[02] Beware of Chicken 2,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Charlaine Harris\Sookie Stackhouse\[13] Dead Ever After,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel - Daredevil - Guardian Devil [GraphicAudio 256k],Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel - Astonishing X-Men - Gifted [Graphic Audio 256],Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\Arthur Conan Doyle; Stephen Fry - introductions,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Drew Hayes\Spells, Swords, & Stealth\[02] Split the Party,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Charlaine Harris\Sookie Stackhouse\[08] From Dead to Worse,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Charlaine Harris\Sookie Stackhouse\[10] Dead In the Family,Reason: Empty Shell
